item,level,kind,words,components,component_levels,letters,longest_word,spellable
Damp Rock,1,compound,2,damp + rock,1 + 1,8,4,yes
Fan,1,single,1,,,3,3,yes
Felt mat,1,compound,2,felt + mat,1 + 1,7,4,yes
Log bed,1,compound,2,log + bed,1 + 1,6,3,yes
Mug,1,single,1,,,3,3,yes
Pink hut kit,1,compound,3,pink + hut + kit,1 + 1 + 1,10,4,yes
Red rock,1,compound,2,red + rock,1 + 1,7,4,yes
Sand den kit,1,compound,3,sand + den + kit,1 + 1 + 1,10,4,yes
Sand hut kit,1,compound,3,sand + hut + kit,1 + 1 + 1,10,4,yes
Sign,1,single,1,,,4,4,yes
Sink,1,single,1,,,4,4,yes
Soft Sand,1,compound,2,soft + sand,1 + 1,8,4,yes
Soft mat,1,compound,2,soft + mat,1 + 1,7,4,yes
Bell,2,single,1,,,4,4,yes
Gold wall,2,compound,2,gold + wall,1 + 2,8,4,yes
Moss,2,single,1,,,4,4,yes
Big drum,3,compound,2,big + drum,1 + 3,7,4,yes
Black Belt,3,compound,2,black + belt,3 + 1,9,5,yes
Black Glasses,3,compound,2,black + glasses,3 + 3,12,7,yes
Black Sludge,3,compound,2,black + sludge,3 + 3,11,6,yes
Black cliff rock,3,compound,3,black + cliff + rock,3 + 3 + 1,14,5,yes
Black rock,3,compound,2,black + rock,3 + 1,9,5,yes
Brick,3,single,1,,,5,5,yes
Brick steps,3,compound,2,brick + steps,3 + 3,10,5,yes
Brick wall,3,compound,2,brick + wall,3 + 2,9,5,yes
Bridge planks,3,compound,2,bridge + planks,3 + 3,12,6,yes
Bronze wall,3,compound,2,bronze + wall,3 + 2,10,6,yes
Cliff rock,3,compound,2,cliff + rock,3 + 1,9,5,yes
Crystal ball,3,compound,2,crystal + ball,3 + 2,11,7,yes
Crystal fragment,3,compound,2,crystal + fragment,3 + 3,15,8,yes
Crystal wall,3,compound,2,crystal + wall,3 + 2,11,7,yes
Dragon Fang,3,compound,2,dragon + fang,3 + 1,10,6,yes
Dry tall grass,3,compound,3,dry + tall + grass,3 + 2 + 3,12,5,yes
Fluff,3,single,1,,,5,5,yes
Frying pan,3,compound,2,frying + pan,3 + 1,9,6,yes
Glass,3,single,1,,,5,5,yes
Gravel,3,single,1,,,6,6,yes
Grubby rags,3,compound,2,grubby + rags,3 + 1,10,6,yes
Pink tall grass,3,compound,3,pink + tall + grass,1 + 2 + 3,13,5,yes
Red cliff rock,3,compound,3,red + cliff + rock,1 + 3 + 1,12,5,yes
Red crystal fragment,3,compound,3,red + crystal + fragment,1 + 3 + 3,18,8,yes
Red tall grass,3,compound,3,red + tall + grass,1 + 2 + 3,12,5,yes
Small log,3,compound,2,small + log,3 + 1,8,5,yes
Spell Tag,3,compound,2,spell + tag,3 + 1,8,5,yes
Sticky web,3,compound,2,sticky + web,3 + 1,9,6,yes
Strange strings,3,compound,2,strange + strings,3 + 3,14,7,yes
Striped wall,3,compound,2,striped + wall,3 + 2,11,7,yes
