name,image,category
Honey,honey,Materials
Sturdy stick,sturdystick,Materials
Stone,stone,Materials
Leaf,leaf,Materials
Small log,smalllog,Materials
Vine rope,vinerope,Materials
Glowing mushrooms,glowingmushrooms,Materials
Twine,twine,Materials
Sea glass fragments,seaglassfragments,Materials
Seashell,seashell,Materials
Nonburnable garbage,nonburnablegarbage,Materials
Squishy clay,squishyclay,Materials
Fluff,fluff,Materials
Wastepaper,wastepaper,Materials
Copper ore,copperore,Materials
Iron ore,ironore,Materials
Gold ore,goldore,Materials
Pokémetal fragment,pokemetalfragment,Materials
Rare Pokémetal fragment,rarepokemetalfragment,Materials
Crystal fragment,crystalfragment,Materials
Lumber,lumber,Materials
Brick,brick,Materials
Copper ingot,copperingot,Materials
Iron ingot,ironingot,Materials
Gold ingot,goldingot,Materials
Pokémetal,pokemetal,Materials
Rare Pokémetal,rarepokemetal,Materials
Glass,glass,Materials
Concrete,concrete,Materials
Paper,paper,Materials
Tinkagear,tinkagear,Materials
Strange strings,strangestrings,Materials
Armor fragment,armorfragment,Materials
Stardust,stardust,Materials
Red paint,redpaint,Materials
Blue paint,bluepaint,Materials
Green paint,greenpaint,Materials
Yellow paint,yellowpaint,Materials
Pink paint,pinkpaint,Materials
Cyan paint,cyanpaint,Materials
White paint,whitepaint,Materials
Black paint,blackpaint,Materials
Mossy Stone,mossystone,Materials
Cotton Spores,cottonspores,Materials
Red crystal fragment,redcrystalfragment,Materials
Leppa Berry,leppaberry,Food
Chesto Berry,chestoberry,Food
Rawst Berry,rawstberry,Food
Aspear Berry,aspearberry,Food
Pecha Berry,pechaberry,Food
Lum Berry,lumberry,Food
Bean,bean,Food
Tomato,tomato,Food
Wheat,wheat,Other
Potato,potato,Other
Fresh carrot,freshcarrot,Food
Seaweed,seaweed,Food
Cave mushrooms,cavemushrooms,Food
Simple salad,simplesalad,Food
Leppa salad,leppasalad,Food
Seaweed salad,seaweedsalad,Food
Shredded salad,shreddedsalad,Food
Crushed-berry salad,crushed-berrysalad,Food
Crouton salad,croutonsalad,Food
Simple soup,simplesoup,Food
Seaweed soup,seaweedsoup,Food
Mushroom soup,mushroomsoup,Food
Electrifying soup,electrifyingsoup,Food
Healthy soup,healthysoup,Food
Flavorful soup,flavorfulsoup,Food
Simple bread,simplebread,Food
Leppa bread,leppabread,Food
Carrot bread,carrotbread,Food
Recycled bread,recycledbread,Food
Fluffy bread,fluffybread,Food
Bread bowl,breadbowl,Food
Simple hamburger steak,simplehamburgersteak,Food
Mushroom hamburger steak,mushroomhamburgersteak,Food
Tomato hamburger steak,tomatohamburgersteak,Food
Potato hamburger steak,potatohamburgersteak,Food
Bitter hamburger steak,bitterhamburgersteak,Food
Vibrant hamburger steak,vibranthamburgersteak,Food
Bruised berry,bruisedberry,Food
Common candy,commoncandy,Food
Rare Candy,rarecandy,Food
Curry and rice,curryandrice,Food
Fresh Water,freshwater,Food
Soda Pop,sodapop,Food
Moomoo Milk Coffee,moomoomilkcoffee,Food
Roserade Tea,roseradetea,Food
Chili sauce,chilisauce,Food
Bouldery Badge,boulderybadge,Key Items
Cascade-like Badge,cascade-likebadge,Key Items
Thunderish Badge,thunderishbadge,Key Items
Rainbowish Badge,rainbowishbadge,Key Items
Soul-like Badge,soul-likebadge,Key Items
Marshy Badge,marshybadge,Key Items
Volcanoey Badge,volcanoeybadge,Key Items
Earth Badge,earthbadge,Key Items
Mysterious Goggles,mysteriousgoggles,Key Items
Nugget,nugget,Other
Silver Bottle Cap,silverbottlecap,Other
