track,level,visual,num1_min,num1_max,num2_min,num2_max,num3_min,num3_max,pattern
add,1,yes,0,3,0,3,,,
add,2,yes,0,6,0,6,,,
add,3,yes,0,9,0,9,,,
add,4,no,10,19,0,9,,,
add,5,no,10,19,10,19,,,
add,6,no,20,29,0,9,,,
add,7,no,20,39,10,19,,,
add,8,no,20,39,20,39,,,
pattern_add,1,no,0,3,,,,,1
pattern_add,2,no,0,6,,,,,"1,2"
pattern_add,3,no,0,9,,,,,"2,3"
pattern_add,4,no,0,9,,,,,"4,5"
pattern_add,5,no,0,9,,,,,10
pattern_add,6,no,0,9,,,,,"6,7"
pattern_add,7,no,0,9,,,,,"8,9"
pattern_add,8,no,10,19,,,,,"1,2,3,4,5,6,7,8,9,10"
sub,1,yes,0,5,0,5,,,
sub,2,yes,0,9,0,9,,,
sub,3,no,10,19,0,9,,,
sub,4,no,10,19,10,19,,,
sub,5,no,20,29,0,9,,,
sub,6,no,20,29,10,19,,,
sub,7,no,20,29,20,29,,,
pattern_sub,1,no,5,9,,,,,1
pattern_sub,2,no,10,19,,,,,"2,3"
pattern_sub,3,no,19,29,,,,,"4,5"
pattern_sub,4,no,30,39,,,,,6
pattern_sub,5,no,40,49,,,,,7
pattern_sub,6,no,50,59,,,,,8
pattern_sub,7,no,60,69,,,,,9
pattern_sub,8,no,79,99,,,,,10
mul,1,yes,1,2,1,2,,,
mul,2,yes,3,4,1,2,,,
mul,3,yes,1,4,1,4,,,
mul,4,no,1,4,1,4,,,
mul,5,yes,5,5,1,4,,,
mul,6,no,1,5,1,5,,,
pattern_mul,1,no,1,2,,,,,1
pattern_mul,2,no,3,4,,,,,1
pattern_mul,3,no,5,6,,,,,1
pattern_mul,4,no,1,6,,,,,1
pattern_mul,5,no,7,8,,,,,1
pattern_mul,6,no,9,10,,,,,1
pattern_mul,7,no,1,10,,,,,1
div,1,yes,2,4,2,2,,,
div,2,yes,6,10,2,2,,,
div,3,yes,3,15,3,3,,,
div,4,no,4,20,4,4,,,
div,5,yes,5,25,5,5,,,
div,6,no,6,30,6,6,,,
pattern_div,1,no,1,2,,,,,1
pattern_div,2,no,3,4,,,,,1
pattern_div,3,no,5,6,,,,,1
pattern_div,4,no,1,6,,,,,1
pattern_div,5,no,7,8,,,,,1
pattern_div,6,no,9,10,,,,,1
pattern_div,7,no,1,10,,,,,1
