chunk,context,say_as,notes
b,any,buh,
c,any,kuh,hard c; soft c before e/i/y is not distinguished
d,any,duh,
f,any,fuh,
g,any,guh,hard g
h,any,huh,
j,any,juh,
k,any,kuh,
l,any,luh,
m,any,muh,
n,any,nuh,
p,any,puh,
q,any,kwuh,
r,any,ruh,
s,any,suh,
t,any,tuh,
v,any,vuh,
w,any,wuh,
x,any,kuhs,x says /ks/; no way to write that as one syllable
y,any,yuh,consonant y
z,any,zuh,
a,short,ah,as in cat
e,short,eh,as in bed
i,short,ih,as in sit
o,short,aw,as in hot — deliberately not "oh", which is the long one
u,short,uh,as in cup
a,long,ay,as in cake
e,long,ee,as in these
i,long,eye,as in bike
o,long,oh,as in rope
u,long,you,as in cube
e,silent,,silent e at the end of a word — says nothing
sh,any,shuh,
ch,any,chuh,
th,any,thuh,
wh,any,wuh,
ck,any,kuh,
ph,any,fuh,
ng,any,ung,
nk,any,unk,
tch,any,chuh,
dge,any,juh,
igh,any,eye,
ai,any,ay,
ay,any,ay,
ea,any,ee,
ee,any,ee,
oa,any,oh,
oo,any,ooh,
ou,any,ow,
ow,any,ow,
oi,any,oy,
oy,any,oy,
ue,any,you,
ew,any,you,
ar,any,ar,
er,any,ur,
ir,any,ur,
or,any,or,
ur,any,ur,
bl,any,bluh,
br,any,bruh,
cl,any,cluh,
cr,any,cruh,
dr,any,druh,
fl,any,fluh,
fr,any,fruh,
gl,any,gluh,
gr,any,gruh,
pl,any,pluh,
pr,any,pruh,
sc,any,skuh,
sk,any,skuh,
sl,any,sluh,
sm,any,smuh,
sn,any,snuh,
sp,any,spuh,
st,any,stuh,
sw,any,swuh,
tr,any,truh,
tw,any,twuh,
qu,any,kwuh,
scr,any,skruh,
spl,any,spluh,
spr,any,spruh,
str,any,struh,
