id,name,type1,type2,base_stat_total
1,bulbasaur,grass,poison,318
2,ivysaur,grass,poison,405
3,venusaur,grass,poison,525
4,charmander,fire,,309
5,charmeleon,fire,,405
6,charizard,fire,flying,534
7,squirtle,water,,314
8,wartortle,water,,405
9,blastoise,water,,530
10,caterpie,bug,,195
11,metapod,bug,,205
12,butterfree,bug,flying,395
13,weedle,bug,poison,195
14,kakuna,bug,poison,205
15,beedrill,bug,poison,395
16,pidgey,normal,flying,251
17,pidgeotto,normal,flying,349
18,pidgeot,normal,flying,479
19,rattata,normal,,253
20,raticate,normal,,413
21,spearow,normal,flying,262
22,fearow,normal,flying,442
23,ekans,poison,,288
24,arbok,poison,,448
25,pikachu,electric,,320
26,raichu,electric,,485
27,sandshrew,ground,,300
28,sandslash,ground,,450
30,nidorina,poison,,365
31,nidoqueen,poison,ground,505
33,nidorino,poison,,365
34,nidoking,poison,ground,505
35,clefairy,fairy,,323
36,clefable,fairy,,483
37,vulpix,fire,,299
38,ninetales,fire,,505
39,jigglypuff,normal,fairy,270
40,wigglytuff,normal,fairy,435
41,zubat,poison,flying,245
42,golbat,poison,flying,455
43,oddish,grass,poison,320
44,gloom,grass,poison,395
45,vileplume,grass,poison,490
46,paras,bug,grass,285
47,parasect,bug,grass,405
48,venonat,bug,poison,305
49,venomoth,bug,poison,450
50,diglett,ground,,265
51,dugtrio,ground,,425
52,meowth,normal,,290
53,persian,normal,,440
54,psyduck,water,,320
55,golduck,water,,500
56,mankey,fighting,,305
57,primeape,fighting,,455
58,growlithe,fire,,350
59,arcanine,fire,,555
60,poliwag,water,,300
61,poliwhirl,water,,385
62,poliwrath,water,fighting,510
63,abra,psychic,,310
64,kadabra,psychic,,400
65,alakazam,psychic,,500
66,machop,fighting,,305
67,machoke,fighting,,405
68,machamp,fighting,,505
69,bellsprout,grass,poison,300
70,weepinbell,grass,poison,390
71,victreebel,grass,poison,490
72,tentacool,water,poison,335
73,tentacruel,water,poison,515
74,geodude,rock,ground,300
75,graveler,rock,ground,390
76,golem,rock,ground,495
77,ponyta,fire,,410
78,rapidash,fire,,500
79,slowpoke,water,psychic,315
80,slowbro,water,psychic,490
81,magnemite,electric,steel,325
82,magneton,electric,steel,465
84,doduo,normal,flying,310
85,dodrio,normal,flying,470
86,seel,water,,325
87,dewgong,water,ice,475
88,grimer,poison,,325
89,muk,poison,,500
90,shellder,water,,305
91,cloyster,water,ice,525
92,gastly,ghost,poison,310
93,haunter,ghost,poison,405
94,gengar,ghost,poison,500
95,onix,rock,ground,385
96,drowzee,psychic,,328
97,hypno,psychic,,483
98,krabby,water,,325
99,kingler,water,,475
100,voltorb,electric,,330
101,electrode,electric,,490
102,exeggcute,grass,psychic,325
103,exeggutor,grass,psychic,530
104,cubone,ground,,320
105,marowak,ground,,425
106,hitmonlee,fighting,,455
107,hitmonchan,fighting,,455
108,lickitung,normal,,385
109,koffing,poison,,340
110,weezing,poison,,490
111,rhyhorn,ground,rock,345
112,rhydon,ground,rock,485
113,chansey,normal,,450
114,tangela,grass,,435
115,kangaskhan,normal,,490
116,horsea,water,,295
117,seadra,water,,440
118,goldeen,water,,320
119,seaking,water,,450
120,staryu,water,,340
121,starmie,water,psychic,520
123,scyther,bug,flying,500
124,jynx,ice,psychic,455
125,electabuzz,electric,,490
126,magmar,fire,,495
127,pinsir,bug,,500
128,tauros,normal,,490
129,magikarp,water,,200
130,gyarados,water,flying,540
131,lapras,water,ice,535
132,ditto,normal,,288
133,eevee,normal,,325
134,vaporeon,water,,525
135,jolteon,electric,,525
136,flareon,fire,,525
137,porygon,normal,,395
138,omanyte,rock,water,355
139,omastar,rock,water,495
140,kabuto,rock,water,355
141,kabutops,rock,water,495
142,aerodactyl,rock,flying,515
143,snorlax,normal,,540
144,articuno,ice,flying,580
145,zapdos,electric,flying,580
146,moltres,fire,flying,580
147,dratini,dragon,,300
148,dragonair,dragon,,420
149,dragonite,dragon,flying,600
150,mewtwo,psychic,,680
151,mew,psychic,,600
152,chikorita,grass,,318
153,bayleef,grass,,405
154,meganium,grass,,525
155,cyndaquil,fire,,309
156,quilava,fire,,405
157,typhlosion,fire,,534
158,totodile,water,,314
159,croconaw,water,,405
160,feraligatr,water,,530
161,sentret,normal,,215
162,furret,normal,,415
163,hoothoot,normal,flying,262
164,noctowl,normal,flying,452
165,ledyba,bug,flying,265
166,ledian,bug,flying,390
167,spinarak,bug,poison,250
168,ariados,bug,poison,400
169,crobat,poison,flying,535
170,chinchou,water,electric,330
171,lanturn,water,electric,460
172,pichu,electric,,205
173,cleffa,fairy,,218
174,igglybuff,normal,fairy,210
175,togepi,fairy,,245
176,togetic,fairy,flying,405
177,natu,psychic,flying,320
178,xatu,psychic,flying,470
179,mareep,electric,,280
180,flaaffy,electric,,365
181,ampharos,electric,,510
182,bellossom,grass,,490
183,marill,water,fairy,250
184,azumarill,water,fairy,420
185,sudowoodo,rock,,410
186,politoed,water,,500
187,hoppip,grass,flying,250
188,skiploom,grass,flying,340
189,jumpluff,grass,flying,460
190,aipom,normal,,360
191,sunkern,grass,,180
192,sunflora,grass,,425
193,yanma,bug,flying,390
194,wooper,water,ground,210
195,quagsire,water,ground,430
196,espeon,psychic,,525
197,umbreon,dark,,525
198,murkrow,dark,flying,405
199,slowking,water,psychic,490
200,misdreavus,ghost,,435
201,unown,psychic,,336
202,wobbuffet,psychic,,405
203,girafarig,normal,psychic,455
204,pineco,bug,,290
