name,say_as,source
aegislash,ee jih slash,checked
aerodactyl,air oh dack tul,checked
araquanid,ar uh kwah nid,checked
arceus,ar kee us,checked
archaludon,ar kal oo don,unverified
archeops,ar kee ops,checked
armarouge,ar muh rooj,unverified
barboach,bar bohch,checked
barraskewda,bar uh skew duh,unverified
basculegion,bas kyoo lee jun,unverified
bellsprout,bell sprout,checked
blacephalon,bluh sef uh lon,unverified
blitzle,blit zul,checked
bouffalant,boo fuh lont,checked
buizel,bwee zul,checked
buzzwole,buzz wole,unverified
calyrex,kal ih rex,unverified
celebi,sell uh bee,unverified
celesteela,seh les tee luh,unverified
ceruledge,seh roo lej,unverified
cetitan,see tie tan,unverified
cetoddle,see toddle,unverified
chandelure,shan duh loor,unverified
chansey,chan see,checked
charcadet,char kuh det,unverified
chatot,cha tot,checked
cherrim,chair um,checked
cherubi,chuh roo bee,checked
chesnaught,chess nawt,checked
chespin,chess pin,checked
chewtle,chew tul,unverified
chi-yu,chee yoo,checked
chien-pao,chen pow,checked
chikorita,chik oh ree tah,checked
chimchar,chim char,checked
chimecho,chime ek oh,checked
chinchou,chin chow,checked
chingling,ching ling,checked
cinccino,chin chee noh,checked
corviknight,corvi nite,unverified
corvisquire,corvi skwire,unverified
cosmoem,koz mo em,unverified
crabominable,cruh bom in uh bul,unverified
cyclizar,sy cli zar,unverified
cyndaquil,sin duh kwil,checked
dachsbun,daks bun,unverified
deino,dye no,checked
deoxys,dee ox sis,checked
diancie,dee an see,unverified
diggersby,dig urz bee,checked
doublade,doo blade,unverified
dragalge,druh gal jee,checked
dudunsparce,doo dun sparse,unverified
dunsparce,dun sparse,checked
eiscue,ice cue,unverified
emboar,em bore,checked
entei,en tay,unverified
espathra,es pah thrah,unverified
eternatus,ee ter nay tus,unverified
exploud,eks plowd,checked
farigiraf,fair ih graf,unverified
fezandipiti,fez an dip ih tee,unverified
fidough,fy doh,unverified
flaaffy,fla fee,checked
fletchinder,fletch in der,checked
floette,flo et,checked
florges,flor jiss,checked
flygon,fly gon,checked
frigibax,frij ih bax,unverified
furfrou,fur froo,checked
garchomp,gar chomp,checked
genesect,jen uh sekt,unverified
gengar,gang gar,checked
geodude,gee oh dood,checked
gible,gib ul,checked
gigalith,gig uh lith,unverified
gimmighoul,gim ee gool,unverified
glaceon,glay see on,checked
gorebyss,gor ih bis,checked
gourgeist,gor geist,checked
groudon,grow don,checked
grovyle,grow vile,checked
gyarados,gair uh dose,checked
hakamo-o,hah kah mo oh,checked
hawlucha,haw loo chuh,unverified
hitmonchan,hit mon chan,checked
ho-oh,ho oh,checked
honchkrow,honch krow,checked
houndoom,hown doom,checked
houndour,hown dow er,checked
houndstone,hound stone,unverified
hydrapple,high drapple,unverified
hydreigon,hi dry gin,checked
hypno,hip no,checked
igglybuff,ig lee buff,checked
incineroar,in sin er roar,checked
ivysaur,eye vee sore,checked
jangmo-o,jang mo oh,checked
jellicent,jel uh sent,checked
jirachi,jih rah chee,unverified
jynx,jinks,checked
kangaskhan,kang gus kahn,unverified
kilowattrel,kill oh wat rel,unverified
kommo-o,koh mo oh,checked
koraidon,kuh rye don,unverified
kyogre,kai oh gur,checked
kyurem,kyoo rem,unverified
lechonk,leh chonk,unverified
loudred,low dred,checked
lugia,loo gee uh,checked
lycanroc,lie kan rok,checked
machoke,muh choke,checked
magearna,muh gear nuh,unverified
mandibuzz,man dih buzz,checked
mantyke,man tike,checked
masquerain,mas kuh rain,checked
medicham,med ih cham,checked
meloetta,mel oh et uh,unverified
meowscarada,meow skuh rah duh,unverified
milcery,mil suh ree,unverified
mime-jr,mime junior,checked
mimikyu,mim ih kyoo,unverified
minccino,min chee noh,checked
miraidon,muh rye don,unverified
mismagius,mis mag eeus,checked
mr-rime,mister rime,checked
munchlax,munch laks,checked
munna,moon uh,checked
necrozma,neh kroz muh,unverified
nidoqueen,nee doe queen,checked
ninetales,nine tales,unverified
ogerpon,oh gur pon,unverified
okidogi,oh kee doh gee,unverified
pachirisu,pah chee ree soo,checked
panpour,pan poor,unverified
pecharunt,peh chuh runt,unverified
phanpy,fan pee,checked
pheromosa,fair uh moh suh,unverified
phione,fee oh nay,unverified
pichu,pee choo,checked
pidgeot,pidj it,checked
pincurchin,pin ur chin,unverified
politoed,pol ee towd,checked
poltchageist,pol chah guyst,unverified
polteageist,pole ter guyst,unverified
ponyta,po nee tuh,checked
porygon,por ee gon,checked
porygon-z,por ee gon zee,checked
porygon2,por ee gon two,checked
psyduck,sy duck,checked
pyroar,pie roar,checked
quagsire,kwag sire,checked
quaquaval,kwah kwah val,unverified
quilava,kwi lah vah,checked
quilladin,kwil uh din,checked
raichu,rye chew,checked
raikou,rye koo,unverified
rayquaza,ray kway zuh,checked
regice,rej ice,checked
regidrago,rej ee drah go,unverified
regieleki,rej ee eh lek ee,unverified
regirock,rejeerock,checked
registeel,rejeesteel,checked
rhydon,rye don,checked
rhyhorn,rye horn,checked
roggenrola,rah gen roh luh,checked
sandshrew,sand shrew,checked
sceptile,sep tile,checked
scizor,siz or,checked
scyther,sy ther,checked
seismitoad,size mih toad,unverified
shiinotic,shee noh tik,unverified
shroomish,shroom ish,checked
simipour,sim ee poor,unverified
simisage,sim ee sage,checked
sinistcha,sin ist chah,unverified
sirfetchd,sir fetched,checked
skeledirge,skel uh durj,unverified
smoochum,smoo chum,checked
sneasel,snee sel,checked
solgaleo,sol guh lay oh,unverified
squawkabilly,squawk uh bil ee,unverified
stonjourner,stone jur ner,unverified
suicune,swee koon,checked
sylveon,sil vee on,unverified
tangela,tang guh luh,checked
tapu-bulu,tah poo boo loo,checked
tapu-fini,tah poo fee nee,checked
tapu-koko,tah poo koh koh,checked
tapu-lele,tah poo lay lay,checked
tarountula,tuh roun chuh luh,unverified
tatsugiri,tot soo gee ree,unverified
throh,throw,unverified
ting-lu,ting loo,checked
tirtouga,teer too guh,checked
toedscool,toads cool,unverified
toedscruel,toads cruel,unverified
togedemaru,toh geh deh mah roo,unverified
togekiss,toe guh kiss,checked
toxtricity,tox tris ih tee,unverified
trapinch,tra pinch,checked
tsareena,zar ree nuh,checked
tympole,tim pole,unverified
tynamo,tai nu mo,checked
typhlosion,tie flow zhn,checked
tyranitar,tie ran ih tar,checked
tyrogue,tie rogue,checked
vespiquen,ves pih kwen,checked
walrein,wal rain,checked
watchog,wah chog,checked
whimsicott,whim zih cot,unverified
whiscash,wis cash,checked
whismur,wis mur,checked
wigglytuff,wig lee tuff,checked
wo-chien,woh chen,checked
wynaut,why not,checked
wyrdeer,weer deer,unverified
xatu,zah too,checked
xerneas,zen nee us,checked
xurkitree,zur kih tree,unverified
yveltal,e vel tall,checked
zacian,zay shun,unverified
zoroark,zoh roh ark,unverified
zweilous,swai luhs,checked
zygarde,zye guard,checked
