level,word_level,compound_level,pokemon_letters,hinted_letters,max_hints,promote_5_pct,promote_10_pct
1,1,0,3,1,1,100,80
2,2,0,4,2,1,100,80
3,2,0,4,1,1,100,80
4,2,0,4,1,1,100,80
5,3,1,5,2,1,100,80
6,3,1,5,1,1,100,80
7,3,1,5,1,1,100,80
8,4,2,6,2,1,100,80
9,4,2,6,1,1,100,80
10,4,2,6,1,1,100,80
11,5,3,7,3,1,100,80
12,5,3,7,2,1,100,80
13,5,3,7,1,1,100,80
14,6,4,8,3,1,100,80
15,6,4,8,2,1,100,80
16,6,4,8,1,1,100,80
17,7,5,10,4,1,100,80
18,7,5,10,3,1,100,80
19,7,5,10,2,1,100,80
20,8,7,12,5,1,100,80
21,8,7,12,3,1,100,80
22,8,7,12,2,1,100,80
23,9,9,14,5,1,100,80
24,9,9,14,3,1,100,80
25,9,9,14,2,1,100,80
