word,level,pattern,letters,syllables,compound_parts,also_matches,used_in_items,previous_level,review
abandoned,9,Multisyllabic,9,4,,,1,,
ability,9,Multisyllabic,7,4,,,1,,
acrylic,9,Multisyllabic,7,3,,,1,,
adorable,9,Multisyllabic,8,4,,r-controlled,1,,
adrenaline,9,Multisyllabic,10,4,,silent-e,1,,
aether,4,Digraphs,6,2,,"digraph, r-controlled",1,,
afternoon,8,Compound words,9,3,after + noon,"r-controlled, vowel-team",1,,
aged,9,Multisyllabic,4,2,,,2,,
aid,6,Vowel teams,3,1,,vowel-team,1,,
air,7,R-controlled,3,1,,"r-controlled, vowel-team",1,,
alarm,7,R-controlled,5,2,,r-controlled,1,,
alpine,9,Multisyllabic,6,2,,silent-e,2,,
altar,7,R-controlled,5,2,,r-controlled,1,,
amulet,9,Multisyllabic,6,3,,,1,,
and,9,Multisyllabic,3,1,,,1,,
antique,8,Compound words,7,3,anti + que,vowel-team,9,,
arcade,7,R-controlled,6,2,,"silent-e, r-controlled",1,,
arcanine,9,Multisyllabic,8,3,,"silent-e, r-controlled",1,,
arch,4,Digraphs,4,1,,"digraph, r-controlled",1,,
arched,4,Digraphs,6,2,,"digraph, r-controlled",3,,
area,7,R-controlled,4,2,,"r-controlled, vowel-team",2,,
argyle,9,Multisyllabic,6,3,,r-controlled,1,,
armor,7,R-controlled,5,2,,r-controlled,4,,
arrow,7,R-controlled,5,2,,"r-controlled, vowel-team",1,,
art,7,R-controlled,3,1,,r-controlled,5,,
ash,4,Digraphs,3,1,,digraph,1,,
aspear,7,R-controlled,6,2,,"r-controlled, vowel-team",1,,
asphalt,4,Digraphs,7,2,,digraph,2,,
audio,6,Vowel teams,5,2,,vowel-team,1,,
auspicious,9,Multisyllabic,10,3,,vowel-team,1,,
automatic,9,Multisyllabic,9,4,,vowel-team,1,,
avalugg,9,Multisyllabic,7,3,,,1,,
awning,6,Vowel teams,6,2,,vowel-team,1,,
backpack,8,Compound words,8,2,back + pack,,1,,
badge,9,Multisyllabic,5,1,,,8,,
bag,1,Short-vowel CVC,3,1,,,1,,
bags,1,Short-vowel CVC,4,1,,,1,,
ball,2,Floss doubles,4,1,,floss,3,,
balloon,6,Vowel teams,7,2,,vowel-team,1,,
balloons,6,Vowel teams,8,2,,vowel-team,1,6,
banner,7,R-controlled,6,2,,r-controlled,1,,
barb,7,R-controlled,4,1,,r-controlled,2,,
barrel,7,R-controlled,6,2,,r-controlled,1,7,
barren,7,R-controlled,6,2,,r-controlled,2,,
barrier,7,R-controlled,7,2,,"r-controlled, vowel-team",1,,
basin,9,Multisyllabic,5,2,,,1,,
basket,9,Multisyllabic,6,2,,,2,,
bass,2,Floss doubles,4,1,,floss,1,,
bathtime,8,Compound words,8,2,bath + time,"digraph, silent-e",1,,
bathtub,8,Compound words,7,2,bath + tub,digraph,2,8,
beach,4,Digraphs,5,1,,"digraph, vowel-team",4,,
beak,6,Vowel teams,4,1,,vowel-team,1,,
beam,6,Vowel teams,4,1,,vowel-team,1,,
bean,6,Vowel teams,4,1,,vowel-team,2,6,
beautiful,9,Multisyllabic,9,3,,vowel-team,1,,
bed,1,Short-vowel CVC,3,1,,,15,,
bell,2,Floss doubles,4,1,,floss,3,2,
belt,1,Short-vowel CVC,4,1,,,1,,
bench,4,Digraphs,5,1,,digraph,5,,
berry,7,R-controlled,5,2,,r-controlled,18,,
big,1,Short-vowel CVC,3,1,,,4,,
bike,5,Silent-e,4,1,,silent-e,1,5,
bin,1,Short-vowel CVC,3,1,,,2,,
birdhouse,8,Compound words,9,2,bird + house,"silent-e, r-controlled, vowel-team",1,,
bitter,7,R-controlled,6,2,,r-controlled,1,,
black,3,Consonant blends,5,1,,blend,7,,
blank,3,Consonant blends,5,1,,blend,1,,
blanket,3,Consonant blends,7,2,,blend,1,,
blocks,3,Consonant blends,6,1,,blend,1,,
blue,6,Vowel teams,4,1,,"vowel-team, blend",5,,
board,7,R-controlled,5,1,,"r-controlled, vowel-team",4,,
boat,6,Vowel teams,4,1,,vowel-team,3,,
bone,5,Silent-e,4,1,,silent-e,1,,
bonfire,8,Compound words,7,2,bon + fire,silent-e,1,9,differs
boo,6,Vowel teams,3,1,,vowel-team,1,,
book,6,Vowel teams,4,1,,vowel-team,4,6,
bookcase,8,Compound words,8,2,book + case,"silent-e, vowel-team",2,8,
bookshelf,8,Compound words,9,2,book + shelf,"digraph, vowel-team",1,,
bottle,9,Multisyllabic,6,2,,,3,,
boulder,7,R-controlled,7,2,,"r-controlled, vowel-team",2,,
bouldery,9,Multisyllabic,8,3,,"r-controlled, vowel-team",1,,
bouncy,6,Vowel teams,6,2,,vowel-team,1,,
boutique,9,Multisyllabic,8,3,,vowel-team,1,,
bowl,6,Vowel teams,4,1,,vowel-team,1,,
box,1,Short-vowel CVC,3,1,,,7,,
boxes,9,Multisyllabic,5,1,,,1,,
boy,6,Vowel teams,3,1,,vowel-team,1,,
brainy,6,Vowel teams,6,2,,"vowel-team, blend",1,,
bread,6,Vowel teams,5,1,,"vowel-team, blend",7,,
brick,3,Consonant blends,5,1,,blend,11,3,
bridge,3,Consonant blends,6,1,,blend,2,,
broken,3,Consonant blends,6,2,,blend,2,,
bronze,3,Consonant blends,6,1,,blend,2,,
brown,6,Vowel teams,5,1,,"vowel-team, blend",2,,
bruised,6,Vowel teams,7,2,,"vowel-team, blend",1,,
bubble,9,Multisyllabic,6,2,,,1,,
bumpy,9,Multisyllabic,5,2,,,1,,
bunting,9,Multisyllabic,7,2,,,1,,
cabin,9,Multisyllabic,5,2,,,1,,
cabinet,9,Multisyllabic,7,3,,,2,,
cake,5,Silent-e,4,1,,silent-e,1,,
calendar,9,Multisyllabic,8,3,,r-controlled,1,,
camera,9,Multisyllabic,6,3,,r-controlled,1,,
campfire,8,Compound words,8,2,camp + fire,silent-e,1,8,
camping,8,Compound words,7,2,camp + ing,,1,,
can,1,Short-vowel CVC,3,1,,,1,,
candle,9,Multisyllabic,6,2,,,2,,
candy,9,Multisyllabic,5,2,,,2,,
cannon,9,Multisyllabic,6,2,,,2,9,
canoe,6,Vowel teams,5,2,,vowel-team,1,6,
canvas,9,Multisyllabic,6,2,,,1,,
cap,1,Short-vowel CVC,3,1,,,2,,
card,7,R-controlled,4,1,,r-controlled,1,,
cardboard,8,Compound words,9,2,card + board,"r-controlled, vowel-team",1,,
